model,accuracy,precision,recall,f1_score,threshold,test_loss,confusion_matrix
mlp_tfidf,0.9832041343669251,0.9368421052631579,0.9270833333333334,0.9319371727748691,0.37000000000000016,0.05164114385843277,"[[672, 6], [7, 89]]"
bilstm,0.9767441860465116,0.9534883720930233,0.8541666666666666,0.9010989010989011,0.2800000000000001,0.08124590665102005,"[[674, 4], [14, 82]]"
