epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8419061899185181,0.0010000000474974513,0.4672059416770935,1.0,0.144386425614357
1,0.9288955926895142,0.0010000000474974513,0.20580877363681793,1.0,0.10326658934354782
2,0.9440242052078247,0.0010000000474974513,0.1855168491601944,0.9833333492279053,0.10549592226743698
3,0.9440242052078247,0.0010000000474974513,0.18702340126037598,0.949999988079071,0.11072155088186264
4,0.9621785283088684,0.0003000000142492354,0.12143677473068237,0.9833333492279053,0.047705914825201035
5,0.9576399326324463,0.0003000000142492354,0.12813802063465118,1.0,0.03088495135307312
6,0.9531013369560242,0.0003000000142492354,0.1301051825284958,1.0,0.02118394710123539
7,0.9621785283088684,0.0003000000142492354,0.1314481645822525,1.0,0.0152332354336977
8,0.95158851146698,0.0003000000142492354,0.1398029923439026,1.0,0.014716947451233864
9,0.9629349708557129,0.0003000000142492354,0.11499856412410736,1.0,0.024624930694699287
10,0.9621785283088684,0.0003000000142492354,0.11021986603736877,0.9833333492279053,0.03409821167588234
11,0.9621785283088684,9.000000136438757e-05,0.10242421925067902,0.9833333492279053,0.03299306333065033
12,0.9674735069274902,9.000000136438757e-05,0.09123086929321289,0.9833333492279053,0.033324338495731354
13,0.9629349708557129,2.700000004551839e-05,0.11001396179199219,0.9833333492279053,0.031124193221330643
