,precision,recall,f1-score,support
Healthy,0.9411764705882353,0.96,0.9504950495049505,50.0
Powdery,0.9791666666666666,0.94,0.9591836734693877,50.0
Rust,0.9803921568627451,1.0,0.9900990099009901,50.0
accuracy,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
macro avg,0.9669117647058824,0.9666666666666667,0.9665925776251094,150.0
weighted avg,0.9669117647058821,0.9666666666666667,0.9665925776251094,150.0
