epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
14,0.965960681438446,9.999999747378752e-06,0.10168813914060593,1.0,0.01318743173032999
15,0.9720121026039124,9.999999747378752e-06,0.09614980220794678,1.0,0.011865564621984959
16,0.9674735069274902,9.999999747378752e-06,0.10167718678712845,1.0,0.010602558963000774
17,0.9652042388916016,9.999999747378752e-06,0.10631447285413742,1.0,0.009649371728301048
18,0.9704992175102234,9.999999747378752e-06,0.09682720899581909,1.0,0.011494938284158707
19,0.9727685451507568,9.999999747378752e-06,0.08305121958255768,1.0,0.009188396856188774
20,0.9689863920211792,9.999999747378752e-06,0.08905111998319626,1.0,0.008458763360977173
21,0.965960681438446,9.999999747378752e-06,0.09674667567014694,1.0,0.010764728300273418
22,0.97579425573349,9.999999747378752e-06,0.08530271053314209,1.0,0.007597179152071476
23,0.9750378131866455,9.999999747378752e-06,0.07604026049375534,1.0,0.007503541186451912
24,0.9720121026039124,9.999999747378752e-06,0.09121192991733551,1.0,0.007595767267048359
25,0.97579425573349,2.9999998787388904e-06,0.06982553750276566,1.0,0.007342101074755192
26,0.9735249876976013,2.9999998787388904e-06,0.083824023604393,1.0,0.00730920908972621
27,0.9704992175102234,2.9999998787388904e-06,0.0884234830737114,1.0,0.008010546676814556
28,0.9735249876976013,8.999999749903509e-07,0.06900620460510254,1.0,0.00795151200145483
