epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2112.47,0.67085,0.40813,1.05687,0.96778,0.98381,0.98754,0.91472,0.39896,0.1614,0.92663,0.000900844,0.000900844,0.000900844
43,2162.31,0.66002,0.40799,1.04973,0.97166,0.9673,0.98252,0.90055,0.42275,0.17938,0.93693,0.000896127,0.000896127,0.000896127
44,2212.12,0.67043,0.39558,1.05421,0.96441,0.97955,0.98851,0.91289,0.41871,0.17341,0.93135,0.000891313,0.000891313,0.000891313
45,2263.53,0.65153,0.36805,1.04531,0.96037,0.97342,0.98811,0.9026,0.43595,0.1932,0.94531,0.000886404,0.000886404,0.000886404
46,2314.82,0.65415,0.38898,1.04537,0.96634,0.98789,0.98593,0.90876,0.40877,0.16133,0.92628,0.000881401,0.000881401,0.000881401
47,2363.23,0.65029,0.38092,1.04004,0.97799,0.98306,0.98765,0.90228,0.42098,0.15312,0.93453,0.000876305,0.000876305,0.000876305
48,2413.41,0.64034,0.3678,1.03734,0.96512,0.97846,0.98864,0.91185,0.40994,0.18069,0.92797,0.000871117,0.000871117,0.000871117
49,2461.63,0.64035,0.38428,1.03911,0.97618,0.98189,0.9892,0.91848,0.396,0.15413,0.92232,0.000865839,0.000865839,0.000865839
50,2513.73,0.64405,0.38185,1.0458,0.96831,0.98761,0.98731,0.90849,0.41521,0.15951,0.93183,0.000860473,0.000860473,0.000860473
51,2563.87,0.64282,0.38236,1.03854,0.96707,0.98369,0.98535,0.91462,0.38387,0.15988,0.91422,0.000855018,0.000855018,0.000855018
52,2613.69,0.63716,0.37772,1.04384,0.97178,0.97966,0.98715,0.9094,0.40928,0.16101,0.92511,0.000849477,0.000849477,0.000849477
53,2664.28,0.63387,0.37359,1.04451,0.97593,0.98279,0.98846,0.91501,0.40451,0.1518,0.92564,0.000843851,0.000843851,0.000843851
54,2713.28,0.64147,0.37742,1.03737,0.96939,0.98211,0.99083,0.91268,0.41281,0.15787,0.9279,0.000838141,0.000838141,0.000838141
55,2762.34,0.63885,0.37276,1.04056,0.97359,0.98383,0.98979,0.9183,0.39085,0.15472,0.91859,0.000832349,0.000832349,0.000832349
56,2811.16,0.63912,0.36264,1.03509,0.96737,0.98207,0.98537,0.91101,0.4011,0.16268,0.92276,0.000826477,0.000826477,0.000826477
57,2859.09,0.62051,0.35931,1.03081,0.97788,0.97783,0.98747,0.90396,0.42491,0.16184,0.93297,0.000820525,0.000820525,0.000820525
58,2909.47,0.62537,0.35777,1.02409,0.96851,0.98363,0.99081,0.92506,0.38029,0.15522,0.90834,0.000814495,0.000814495,0.000814495
59,2960.54,0.62475,0.35696,1.02846,0.98165,0.97612,0.98917,0.92214,0.37452,0.14172,0.90565,0.000808389,0.000808389,0.000808389
60,3011.86,0.63135,0.35571,1.03485,0.97967,0.97701,0.9898,0.92826,0.37356,0.14963,0.90632,0.000802208,0.000802208,0.000802208
61,3061.87,0.60079,0.34045,1.01338,0.96527,0.98017,0.98844,0.92268,0.38527,0.16865,0.90703,0.000795954,0.000795954,0.000795954
62,3110.98,0.60516,0.34823,1.02295,0.95855,0.97282,0.98738,0.92209,0.38006,0.17547,0.91069,0.000789628,0.000789628,0.000789628
63,3160.6,0.59976,0.33027,1.01246,0.97492,0.97842,0.9885,0.92643,0.37211,0.15296,0.90188,0.000783231,0.000783231,0.000783231
64,3208.78,0.61096,0.34302,1.022,0.97204,0.98352,0.98736,0.92289,0.37557,0.14907,0.90275,0.000776766,0.000776766,0.000776766
65,3259.69,0.61404,0.33944,1.0199,0.98022,0.98412,0.98798,0.92092,0.37981,0.14496,0.90235,0.000770234,0.000770234,0.000770234
66,3310.5,0.61547,0.34834,1.02156,0.97399,0.98113,0.9898,0.9174,0.39399,0.14462,0.91194,0.000763637,0.000763637,0.000763637
67,3359.3,0.61054,0.35512,1.02653,0.97265,0.98187,0.98938,0.92232,0.37915,0.15158,0.9058,0.000756976,0.000756976,0.000756976
68,3409.71,0.60325,0.33241,1.02112,0.97431,0.98285,0.99054,0.91338,0.40672,0.14374,0.9186,0.000750252,0.000750252,0.000750252
